company name,mobile no,website link,state and city,email
['RC DESIGN STUDIO'],['tel:098209 51828'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5yY2Rlc2lnbnN0dWRpby5pbg/d7a9ff09ac9089e83e98c6e367b4bf57/ue/NTg5MTAxNTA/6820f1bebcc4a983fd48d149a50ab944'],"['MUMBAI, Maharashtra']",[]
['Ace Associates'],['tel:098240 51072'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5hY2Vhc3NvY2lhdGVzLmlu/683f0074ab36e40d4cc43c849b8b3591/ue/NDM0ODU4ODA/dcd191635af78300038f6da5c34950ac'],['Gujarat'],[]
['Studio An-V-Thot Architects Pvt. Ltd.'],['tel:099111 12739'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5zdHVkaW9hdnQuY29t/0e476c1f871a3497f487d7658c254d72/ue/MzQ3MzEzMg/dc39239f078fe094a155f0ad0182fcc4'],['New Delhi'],[]
['UJ(D)esigns'],['tel:097693 63644'],['https://www.houzz.in/trk/aHR0cDovL3VqZGVzaWducy5jb20v/76de3360298ba94d8e57b078d76bfb36/ue/NTQxNTA0NjU/5a065ad227cb9f6cc7db0476a985fc1f'],"['Mumbai, Maharashtra']",[]
['SAB design studio'],['tel:099991 81886'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5zYWJkZXNpZ25zdHVkaW8ubmV0/28f350dd1df21b97b39e096a3423caa0/ue/NTE2ODU3ODI/a7568be3f568b1e625b11c4600878921'],"['New Delhi, Delhi']",[]
['ma+rs'],['tel:081475 82622'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5tYXBsdXNycy5jb20/415c5bd4c2e230522f82188431bb1051/ue/NDI2NDIxMTg/635ff1f193910f6a4906398ba25737d2'],"['Bangalore, Karnataka']",[]
"['STUDIO 3087, Vadodara']",['tel:098245 03087'],['https://www.houzz.in/trk/aHR0cDovL3N0dWRpbzMwODcuaW4/3742973567240b594f8e428dfbcf9c81/ue/OTk0ODkzMg/9b908935ffcad555504c4769de7a7f5a'],['VADODARA'],[]
['SHAHEN MISTRY ARCHITECTS'],['tel:098211 27058'],['https://www.houzz.in/trk/aHR0cDovL3NoYWhlbi5ob3V6ei5pbg/faaccac4ca4b41e266a808cb893acd4f/ue/MTQ3MjgwMw/fbe756b257ecc21bf043b65fa179e6ce'],['MUMBAI'],[]
['ns*a Architecture and Interiors'],['tel:912279628147'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5uc2FyY2guaW4/e6668035d041ab2775739088a6db84dd/ue/MjI2MDMxNg/1cc9f4de9ed685d08404c6e6539265ee'],"['Mumbai, Maharashtra']",[]
['Pranav Patel Design Studio'],['tel:02692 252 600'],[],"['Anand, Gujarat']",[]
