company name,mobile no,website link,state and city,email
['Hoop Pine - Modular Kitchen & Wardrobes in Chennai'],['tel:094440 70210'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5ob29wcGluZS5pbg/04dea1b12b0e21a53a51b35cfc3dcd90/ue/Mzg3MzkyMzM/c55e8394a479f5efe63840d9f1e4c83f'],"['Chennai, Tamil Nadu']",[]
['Renovart'],['tel:077604 92115'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5yZW5vdmFydC5pbg/97436859002f21229c0e8a99c47ac1ef/ue/NDcxMDAyNzg/2602b2559ada8d6ac5a7c439b6f0b7a8'],['Bangalore'],[]
['Belso Kitchens'],['tel:099530 66651'],['https://www.houzz.in/trk/aHR0cHM6Ly93d3cuYmVsc28uaW4/70e1b4366204422e14926c7a36d2ba5c/ue/NTc5ODA1Mjc/53c1bb35b90969a7daaf901236a885c2'],"['Jaipur, Rajasthan']",[]
['MGM Kitchens'],['tel:0124 404 0808'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5tb2R1bGFya2l0Y2hlbmd1cmdhb24uaW4/4c3b13ce7d1ccd0352daebbe1d358f81/ue/MzEzNDM4MTQ/25c4be23006f8d46c4834b3d24985241'],"['Gurgaon, Haryana']",[]
['DESIGN INDIAN KITCHEN'],['tel:098992 64978'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5kZXNpZ25pbmRpYW5raXRjaGVuLmNvbQ/6f39ca9d895c10a37970cb93cd34080c/ue/MjMyODE4Mzk/e821a2e3b6464faef1bfa6619b3d68a9'],"['New Delhi, Delhi']",[]
['The Homemakers'],['tel:098102 34967'],['https://www.houzz.in/trk/aHR0cDovL3d3dy50aGVob21lbWFrZXJzaW5kaWEuY29t/d0b467c2c6ae53652630a33da55f9817/ue/MTg1NzU5MA/632692240fb1dccbce837ca508db7290'],"['Gurgaon, Haryana']",[]
['euro fresh kitchen appliances'],[],['https://www.houzz.in/trk/aHR0cDovL2V1cm9mcmVzaGtpdGNoZW5hcHBsaWFuY2VzLndlYnMuY29t/65fbff3658ff668add8ced7cf72e8501/ue/NDI0NTA2Mg/450f96c0228977cfea70dbb32e4feda2'],['FARIDABAD'],[]
['Midas Kitchens'],['tel:022 2430 9797'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5taWRhc2tpdGNoZW5zLmluLw/d598ba425d30a071c3eb5fcbacccd4f2/ue/MzIzNjg2MDk/9e13c12d6ed10cae87663596dcb22ff5'],"['Mumbai, Maharashtra']",[]
['Goodluck modular kitchen'],['tel:082913 61113'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5nb29kbHVja2tpdGNoZW4uY29t/bf13cf35991f36a5a9bc340485bdb102/ue/MzU3MjQ1MTc/cb02e767589578e050abdd8b6e66e90c'],"['Mumbai, Maharashtra']",[]
['TIMBERCUBES MODULAR KITCHENS-Thrissur-8129188188'],['tel:081291 88188'],['https://www.houzz.in/trk/aHR0cDovL3d3dy50aW1iZXJjdWJlcy5jb20/ad63e0a44e977cb9d8f2326347aa8f0b/ue/MTA1NzA5MDQ/7e72428302731fb61e9e18c44fe796ba'],['Thrissur'],[]
['Modular Kitchen - Sleek International'],['tel:022 6452 7616'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5zbGVla3dvcmxkLmNvbQ/cb9f10cb64215f58735ba48996415594/ue/OTc1ODM5MA/ccb38deaace791a165e83ad69c460625'],['Mumbai'],[]
['Amit Kumar'],['tel:099880 90999'],['https://www.houzz.in/trk/aHR0cHM6Ly9tZWhyYTAwOS5ob3V6ei5pbg/5e4b118ad2dfc88b927fe6642fc8f758/ue/MTUzMDQ0Nzg/ebad84f2987792c64cb4e72a1e8425f9'],['Ludhiana'],[]
['Coronet Kitchens'],['tel:090168 61920'],['https://www.houzz.in/trk/aHR0cHM6Ly93d3cuY29yb25ldGtpdGNoZW5zLmNvbS8/51761230b50335282c28eef741470b13/ue/NTgyMDIyNDU/4fe0820fda21e936c3f56acbc1b4c0d6'],"['Ahmedabad, Gujarat']",[]
['KÃ¼che7'],['tel:098200 86149'],['https://www.houzz.in/trk/aHR0cHM6Ly93d3cua3VjaGU3LmNvbQ/b70461c65675c65b7263cb4c6b4d94b7/ue/NTIzMDA1MTE/c27dd2db8c35d6b25712b5e817fbfd36'],"['Mumbai, Maharashtra']",[]
['Bath Systems'],['tel:098112 24021'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5iYXRoc3lzdGVtcy5uZXQ/0f138abe83a8da6fda9f6e194d5c5ee4/ue/MTA0OTc5OA/7bbffe6aaf1e24bcf56ce9086d20280a'],"['New Delhi, Delhi']",[]
['Harmoni Kitchens'],['tel:098195 47613'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5oYXJtb25pa2l0Y2hlbnMuaW4v/c9eb14ec6cb6a21e068388cc89a213e0/ue/NTU4NjIzODE/e57839cd2e152fac8c29d21ff67a6dc4'],"['MUMBAI, Maharashtra']",[]
['Spark Kitchens'],['tel:099670 13718'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5zcGFya2tpdGNoZW5zLmNvbQ/a0ef31a8d7e6ae905eb4468e8b22b21f/ue/MTYzMzM2MTk/3524e0017ec7007e94f157cd8f59db2b'],['Mumbai'],[]
