company name,mobile no,website link,state and city,email
['Harmoni Kitchens'],['tel:098195 47613'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5oYXJtb25pa2l0Y2hlbnMuaW4v/c9eb14ec6cb6a21e068388cc89a213e0/ue/NTU4NjIzODE/e57839cd2e152fac8c29d21ff67a6dc4'],"['MUMBAI, Maharashtra']",[]
['Spark Kitchens'],['tel:099670 13718'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5zcGFya2tpdGNoZW5zLmNvbQ/a0ef31a8d7e6ae905eb4468e8b22b21f/ue/MTYzMzM2MTk/3524e0017ec7007e94f157cd8f59db2b'],['Mumbai'],[]
['RID KITCHEN'],['tel:099588 65340'],['https://www.houzz.in/trk/aHR0cHM6Ly9yaWRraXRjaGVuLmhvdXp6Lmlu/12e675b854bf4d35b14c2fec261d8b50/ue/Mzk0ODE1MzY/f0dbf8bdf4f1ed3ec364402e0d624929'],"['Ghaziabad, Uttar Pradesh']",[]
['Ideas Kitchens'],['tel:011 2510 0176'],['https://www.houzz.in/trk/aHR0cDovL2lkZWFza2l0Y2hlbnMuaW4/8ff5914ba1acf03724e502ac695f7378/ue/NTY3NTU4Ng/2641cbeba241b19340f9c00fff9d9b39'],['Delhi'],[]
['POISE'],['tel:098226 20884'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5wb2lzZWtpdGNoZW5zLmNvbS8/562f55091caae9fbafa81923f66d9877/ue/NTA0NzIyMw/6024171d37fea04ded8a03c34b0a4567'],['pune'],[]
['Kitchenoscope'],['tel:096331 48109'],['https://www.houzz.in/trk/aHR0cHM6Ly93d3cua2l0Y2hlbm9zY29wZS5jb20v/28f0feeb8707dd7d235a0a57bd3a3f58/ue/NTUwMTk3MDQ/8d0ebe86cd89b0d000277ec3f50ce9de'],"['kochi, Kerala']",[]
['Tusker India'],['tel:089835 34844'],['https://www.houzz.in/trk/aHR0cDovL3d3dy50dXNrZXJpbmRpYS5pbg/6b7557cd2df8b3e6b207f31f08614c3b/ue/NTkyMTgwNjE/7c690ac55cba5b94afe4ee616fa2c973'],"['Pune, Maharashtra']",[]
['Interior Concept'],['tel:080741 00277'],[],['Hyderabad'],[]
['Krios Kitchens'],['tel:099798 40567'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5rcmlvc2tpdGNoZW5zLmNvbS8/7d097b62e55c4acc7be1b34e6a027b20/ue/MjY0MTM2Nzg/c82e8eff02a5ff538e3f47965661da08'],['Surat'],[]
['Queo Luxury Bathrooms'],['tel:083369 94323'],['https://www.houzz.in/trk/aHR0cHM6Ly93d3cucXVlb2JhdGhyb29tcy5jb20/3463c506167a77502cc54e3929162755/ue/NTQxNzAzNDk/85be158203f7fb99fdc9d1ebe4225d13'],"['Gurugram, Haryana']",[]
